nome,valor,quantidade
Bateria Ventilado NGK,576.54,32
Pastilha NGK Iridium Pirelli,77.25,120
Bateria 10W40 Moura,685.12,29
Pastilha 175/65 R14 Continental,556.27,53
Pneu 10W40 Continental,512.68,109
Óleo Dianteiro Cofap Moura,189.52,133
Parafuso Ventilado Lubrax,447.0,45
Pneu Dentada NGK,188.4,43
Vela 10mm Moura,674.12,86
Pneu 10mm TRW,479.74,137
Pneu Traseira Bosch,148.92,126
Óleo 10W40 Bosch,670.92,107
Vela 10W40 Continental,769.91,23
Correia NGK Iridium Lubrax,789.4,84
Vela Ventilado Varga,421.23,145
Amortecedor Traseira Continental,259.41,34
Amortecedor NGK Iridium Lubrax,749.48,108
Óleo Traseira Moura,417.93,117
Vela Dentada Cofap,331.49,133
Pneu Dentada Cofap,665.94,68
Óleo Dentada Moura,688.18,131
Filtro NGK Iridium TRW,88.67,66
Óleo 175/65 R14 NGK,650.59,18
Bateria Traseira Varga,402.83,97
Óleo Dianteiro Cofap Pirelli,638.13,74
Filtro Moura 60Ah Lubrax,697.3,54
Óleo 10mm Bridgestone,122.4,117
Pneu NGK Iridium Varga,113.5,73
Filtro 10W40 Bosch,627.84,27
Vela Traseira Varga,771.26,118
Parafuso Traseira Pirelli,625.51,43
Parafuso NGK Iridium Bosch,472.15,51
Correia Dianteiro Cofap Continental,574.91,17
Correia Dianteiro Cofap Moura,163.51,128
Amortecedor 10mm NGK,545.15,36
Óleo NGK Iridium NGK,203.31,75
Pneu de Óleo Lubrax,743.39,97
Pneu 175/65 R14 Cofap,372.47,133
Pneu NGK Iridium TRW,562.5,134
Filtro Dentada Bridgestone,136.98,66
Parafuso NGK Iridium TRW,384.41,19
Filtro Dentada Bosch,192.51,82
Filtro NGK Iridium Moura,693.22,48
Pastilha Traseira Moura,781.55,124
Filtro Traseira Varga,558.38,123
Bateria NGK Iridium TRW,222.83,74
Vela Dentada Varga,181.14,109
Amortecedor NGK Iridium Pirelli,729.11,46
Disco de Freio Dentada Continental,432.18,67
Pneu Ventilado Continental,93.64,145
Vela de Óleo NGK,311.19,34
Amortecedor 10mm Lubrax,633.96,120
Disco de Freio 10mm Bosch,533.08,49
Amortecedor 10mm Cofap,697.48,20
Filtro Traseira Bosch,359.8,145
Correia 10W40 Pirelli,509.98,14
Parafuso Ventilado Moura,383.2,13
Disco de Freio Traseira Bridgestone,23.68,77
Pastilha Moura 60Ah Cofap,292.28,30
Óleo Moura 60Ah Bosch,703.02,126
Óleo 175/65 R14 Pirelli,247.71,44
Disco de Freio de Óleo Continental,109.27,128
Óleo 10mm Moura,669.48,19
Disco de Freio de Óleo NGK,169.16,28
Disco de Freio 10mm TRW,360.74,76
Pastilha NGK Iridium Bridgestone,338.78,135
Parafuso Moura 60Ah NGK,100.09,26
Parafuso 10W40 Bridgestone,474.06,140
Amortecedor Moura 60Ah Lubrax,642.32,83
Parafuso Dentada Bosch,690.96,19
Vela Dianteiro Cofap Cofap,142.79,121
Pastilha Dianteiro Cofap Cofap,292.61,109
Filtro 175/65 R14 Cofap,191.42,31
Disco de Freio 10mm Cofap,612.9,11
Disco de Freio Traseira NGK,52.61,77
Disco de Freio 10mm Varga,502.02,140
Vela 175/65 R14 Lubrax,56.26,80
Disco de Freio de Óleo Varga,556.93,108
Óleo de Óleo TRW,782.17,42
Pneu Moura 60Ah Continental,260.01,100
Vela Ventilado Continental,493.6,137
Bateria Ventilado Pirelli,421.85,25
Parafuso 10W40 Continental,34.74,148
Vela Ventilado Bridgestone,248.08,62
Disco de Freio NGK Iridium Bosch,328.43,115
Parafuso Dianteiro Cofap Moura,433.32,19
Pastilha 10mm Lubrax,701.8,142
Pneu 10mm Bridgestone,108.87,147
Vela 10mm Bosch,374.89,128
Correia 175/65 R14 Cofap,575.63,23
Correia 10mm Cofap,783.42,24
Correia 175/65 R14 Bridgestone,575.54,78
Bateria 10W40 Lubrax,83.91,146
Vela de Óleo Continental,140.67,114
Parafuso de Óleo Varga,770.62,63
Bateria Ventilado Varga,745.81,130
Parafuso Moura 60Ah Bosch,261.81,132
Pneu 10W40 Varga,610.48,17
Parafuso de Óleo TRW,203.44,12
Disco de Freio Dianteiro Cofap Bridgestone,432.34,103
Pneu NGK Iridium Pirelli,293.06,13
Óleo Moura 60Ah Cofap,647.61,104
Pastilha Traseira Continental,196.1,44
Vela Moura 60Ah Lubrax,28.68,85
Vela de Óleo Lubrax,156.07,82
Correia 175/65 R14 Pirelli,470.8,61
Amortecedor Dentada NGK,31.61,18
Óleo de Óleo Continental,748.39,28
Bateria Dianteiro Cofap TRW,252.64,80
Disco de Freio 10mm Pirelli,722.88,83
Bateria Moura 60Ah NGK,52.78,26
Pastilha Traseira NGK,404.51,20
Filtro Ventilado Bosch,462.35,117
Filtro Traseira Lubrax,439.34,44
Parafuso Dianteiro Cofap Pirelli,366.91,136
Vela 10mm Lubrax,443.69,67
Disco de Freio 10W40 Bridgestone,75.57,67
Amortecedor NGK Iridium TRW,681.78,105
Vela Dianteiro Cofap Pirelli,268.33,78
Vela Dianteiro Cofap Moura,646.95,26
Óleo Dentada Pirelli,464.8,19
Vela Ventilado Moura,470.49,28
Óleo 175/65 R14 Bridgestone,531.33,110
Pneu Traseira Pirelli,75.66,62
Óleo 175/65 R14 Lubrax,214.99,109
Vela Traseira Pirelli,281.22,46
Pneu de Óleo Pirelli,85.36,42
Filtro Ventilado Bridgestone,44.66,96
Filtro de Óleo TRW,273.19,149
Óleo Dentada Bridgestone,26.29,84
Correia 10W40 Bridgestone,604.76,85
Amortecedor Moura 60Ah Pirelli,44.36,149
Pneu de Óleo NGK,158.14,130
Bateria Moura 60Ah Bosch,38.68,92
Disco de Freio NGK Iridium Bridgestone,565.46,135
Parafuso Traseira Bosch,168.36,53
Amortecedor 10W40 Continental,11.6,49
Amortecedor 175/65 R14 NGK,17.94,111
Óleo de Óleo Varga,284.09,54
Parafuso 10W40 Bosch,622.04,29
Pastilha 175/65 R14 Varga,315.07,85
Correia Ventilado Pirelli,761.33,127
Filtro Dianteiro Cofap Moura,731.37,90
Disco de Freio Dianteiro Cofap Lubrax,413.25,96
Filtro NGK Iridium Pirelli,742.13,137
Pastilha NGK Iridium Varga,600.31,139
Parafuso 10W40 Cofap,758.82,96
Pneu Traseira NGK,223.94,134
Parafuso 175/65 R14 Varga,364.83,94
Pastilha 10W40 NGK,215.48,45
Óleo de Óleo Bridgestone,444.86,100
Amortecedor Ventilado TRW,175.19,45
Bateria Ventilado Moura,197.25,11
Bateria 10mm Moura,531.12,42
Pastilha 175/65 R14 Lubrax,687.3,68
Parafuso Traseira Bridgestone,474.53,96
Parafuso Dentada Continental,379.82,58
Bateria Ventilado Lubrax,506.03,76
Óleo Dianteiro Cofap Continental,742.58,61
Disco de Freio NGK Iridium Pirelli,47.23,110
Bateria 175/65 R14 Varga,754.14,50
Pneu 10W40 Bosch,776.14,77
Disco de Freio Moura 60Ah Continental,646.91,25
Óleo Ventilado Lubrax,180.13,17
Disco de Freio Moura 60Ah Moura,677.79,68
Pneu 10mm Pirelli,209.02,45
Disco de Freio Ventilado Bridgestone,421.67,29
Óleo 10mm Pirelli,361.23,67
Amortecedor NGK Iridium Continental,68.11,109
Correia Ventilado NGK,706.73,53
Amortecedor 10W40 Bosch,305.2,137
Vela Traseira Continental,760.73,116
Pastilha Ventilado NGK,126.65,50
Pastilha 10W40 Pirelli,330.65,114
Amortecedor 175/65 R14 Bridgestone,559.79,36
Filtro Dianteiro Cofap TRW,248.81,103
Parafuso 175/65 R14 Bridgestone,242.89,72
Correia Moura 60Ah NGK,334.28,66
Amortecedor de Óleo Continental,286.19,46
Bateria 175/65 R14 Bosch,386.19,44
Amortecedor Dentada Bridgestone,646.01,87
Bateria 10mm Varga,150.08,141
Bateria Ventilado Bridgestone,343.29,127
Disco de Freio 10mm Continental,58.74,67
Bateria Moura 60Ah Bridgestone,409.63,79
Bateria NGK Iridium Bridgestone,92.82,40
Bateria 175/65 R14 Cofap,326.16,109
Amortecedor NGK Iridium Bridgestone,700.12,142
Filtro NGK Iridium Lubrax,402.98,112
Correia Ventilado Moura,537.92,147
Pastilha 10mm Pirelli,514.23,36
Vela Dentada Pirelli,115.47,19
Correia Dentada Continental,498.79,104
Pneu de Óleo Bosch,298.51,10
Disco de Freio Ventilado Moura,371.28,79
Filtro Ventilado Varga,759.64,24
Bateria de Óleo Bosch,518.28,31
Parafuso 10W40 Lubrax,618.18,19
Filtro de Óleo Varga,585.53,104
Vela 175/65 R14 Pirelli,452.48,122
Correia Traseira TRW,786.63,57
Amortecedor 175/65 R14 Moura,308.01,21
Pneu Ventilado TRW,682.73,105
Vela Moura 60Ah TRW,798.11,108
Correia 175/65 R14 Varga,193.93,12
Vela 10W40 Bosch,99.66,120
Correia Moura 60Ah Bridgestone,610.49,88
Pneu Ventilado Pirelli,436.05,140
Bateria Dentada Moura,735.91,120
Filtro 175/65 R14 TRW,457.06,96
Disco de Freio 10W40 Bosch,705.88,74
Amortecedor Traseira Lubrax,532.92,78
Amortecedor Ventilado Lubrax,489.13,98
Filtro 175/65 R14 Bridgestone,32.42,115
Vela Dentada Bridgestone,369.99,45
Pastilha 10mm Varga,622.52,108
Correia NGK Iridium NGK,714.56,136
Parafuso NGK Iridium Lubrax,87.27,27
Filtro Traseira TRW,546.42,52
Amortecedor 10W40 Lubrax,39.21,78
Parafuso Moura 60Ah Pirelli,32.24,75
Amortecedor 10W40 NGK,725.61,139
Disco de Freio Dianteiro Cofap TRW,491.03,22
Vela NGK Iridium Varga,602.98,74
Pneu 10W40 Bridgestone,425.07,60
Disco de Freio Ventilado Pirelli,396.67,127
Bateria Moura 60Ah Continental,298.51,28
Bateria NGK Iridium Moura,475.48,81
Pastilha Ventilado Varga,760.63,131
Pneu Ventilado Varga,419.0,148
Vela NGK Iridium TRW,66.47,13
Pneu 10mm NGK,397.13,92
Filtro 10mm Moura,666.02,13
Bateria 10mm Continental,305.06,33
Amortecedor 175/65 R14 TRW,519.01,146
Parafuso Ventilado Cofap,91.19,29
Parafuso Ventilado TRW,235.24,147
Filtro 10mm Varga,429.56,123
Disco de Freio Traseira Lubrax,490.6,82
Filtro Dianteiro Cofap Pirelli,297.65,109
Disco de Freio 175/65 R14 Cofap,232.83,60
Pastilha de Óleo Continental,230.2,30
Pneu Moura 60Ah Bridgestone,218.9,137
Amortecedor Traseira Pirelli,355.36,142
Parafuso Traseira Cofap,24.45,67
Correia 10W40 NGK,633.93,115
Pneu Dianteiro Cofap Bridgestone,650.17,93
Amortecedor 175/65 R14 Continental,69.96,91
Óleo NGK Iridium Continental,24.7,26
Bateria Dentada Cofap,369.52,31
Parafuso Dianteiro Cofap NGK,200.17,147
Filtro Dentada NGK,797.9,121
Pastilha Dentada Varga,465.22,52
Amortecedor 10W40 Cofap,443.32,91
Bateria Dianteiro Cofap Varga,211.1,24
Óleo Dianteiro Cofap Varga,637.3,53
Parafuso Ventilado Bridgestone,742.78,16
Pastilha de Óleo NGK,491.36,60
Vela 10mm Bridgestone,546.57,131
Correia Dentada Lubrax,249.65,71
Disco de Freio 10W40 Moura,610.99,119
Parafuso Dianteiro Cofap Bosch,295.03,35
Amortecedor 10mm TRW,147.73,100
Óleo 175/65 R14 Varga,371.73,29
Amortecedor Dentada Varga,670.09,75
Amortecedor 175/65 R14 Lubrax,524.87,18
Pastilha 10W40 Bosch,12.78,17
Parafuso Dentada Moura,87.2,121
Disco de Freio Traseira Pirelli,115.44,128
Pneu de Óleo Varga,478.88,104
Parafuso 10W40 Pirelli,660.06,109
Vela Dianteiro Cofap NGK,96.63,47
Correia Dianteiro Cofap NGK,173.45,19
Amortecedor Dentada Lubrax,315.64,15
Disco de Freio Ventilado Continental,338.98,54
Correia Ventilado Bosch,240.37,68
Filtro Dentada Pirelli,216.67,136
Pastilha Traseira Bosch,305.23,27
Bateria Traseira Moura,69.6,42
Vela NGK Iridium Moura,462.15,73
Vela NGK Iridium Bosch,424.35,39
Pneu Traseira Moura,523.07,135
Filtro 10mm Cofap,574.11,23
Filtro de Óleo NGK,414.45,66
Parafuso 10mm Pirelli,49.46,81
Óleo NGK Iridium Bosch,775.91,109
Amortecedor Ventilado Varga,654.14,93
Filtro 10W40 Cofap,260.66,31
Correia 10mm Bosch,162.23,102
Disco de Freio 175/65 R14 Lubrax,341.22,32
Parafuso NGK Iridium Cofap,726.41,43
Disco de Freio 10W40 TRW,506.27,76
Correia Traseira Bosch,619.16,116
Óleo de Óleo Pirelli,59.37,150
Amortecedor Dianteiro Cofap NGK,480.1,129
Óleo Moura 60Ah Pirelli,48.26,110
Pastilha 10mm Cofap,14.44,64
Parafuso Ventilado Pirelli,348.08,111
Pastilha Moura 60Ah TRW,182.3,58
Bateria de Óleo Continental,136.96,43
Vela 10mm Pirelli,526.67,24
Pneu 10mm Moura,93.59,149
Óleo Ventilado NGK,45.19,53
Correia Moura 60Ah Bosch,513.42,30
Bateria 175/65 R14 TRW,40.15,145
Amortecedor NGK Iridium Cofap,530.38,20
Correia 175/65 R14 TRW,132.16,11
Óleo NGK Iridium Cofap,541.24,73
Correia Moura 60Ah Continental,411.85,98
Óleo 10W40 Continental,574.39,101
Correia 10W40 TRW,426.61,19
Disco de Freio 10mm Bridgestone,793.56,107
Óleo Moura 60Ah Continental,27.9,143
Parafuso de Óleo Bridgestone,370.38,81
Vela 175/65 R14 Varga,316.76,59
Óleo 175/65 R14 Continental,713.61,82
Correia 10mm Pirelli,421.86,103
Parafuso 10mm Moura,435.83,71
Bateria Moura 60Ah Moura,233.0,106
Óleo Dianteiro Cofap TRW,502.57,73
Vela Moura 60Ah NGK,452.23,102
Óleo Dentada NGK,171.76,60
Disco de Freio Dianteiro Cofap Cofap,669.99,92
Correia 10W40 Lubrax,296.19,150
Óleo Dentada Continental,577.69,132
Disco de Freio Dentada Bridgestone,33.99,100
Vela Dianteiro Cofap TRW,520.01,74
Disco de Freio NGK Iridium Moura,669.03,111
Disco de Freio Moura 60Ah Varga,755.13,68
Pneu Dianteiro Cofap Moura,295.74,66
Bateria 175/65 R14 Lubrax,417.35,88
Disco de Freio NGK Iridium Varga,118.47,36
Filtro NGK Iridium Cofap,332.88,24
Bateria Dianteiro Cofap Pirelli,690.25,119
Correia 10mm Lubrax,92.17,76
Correia Moura 60Ah Lubrax,588.13,15
Correia de Óleo TRW,127.11,131
Amortecedor 10mm Continental,257.63,35
Óleo Dentada Lubrax,41.65,77
Bateria Dianteiro Cofap Moura,12.17,146
Bateria 10mm Cofap,677.38,132
Óleo 10mm NGK,298.3,98
Óleo 10mm Varga,407.58,61
Óleo 10W40 Lubrax,130.42,45
Filtro Ventilado Cofap,127.3,12
Vela Traseira TRW,344.11,91
Pneu 10W40 Moura,617.03,88
Pneu NGK Iridium Bosch,679.43,53
Pastilha 175/65 R14 Cofap,81.59,130
Vela Dianteiro Cofap Continental,144.76,98
Filtro Moura 60Ah TRW,97.44,17
Correia 10mm TRW,167.43,33
Pneu Dentada Bridgestone,732.87,90
Óleo Moura 60Ah NGK,40.52,22
Pneu Dianteiro Cofap Bosch,460.7,64
Bateria 10mm NGK,243.59,79
Bateria 175/65 R14 NGK,27.71,126
Pneu Dianteiro Cofap Varga,664.84,55
Correia Moura 60Ah TRW,91.47,81
Óleo 10mm Lubrax,149.21,68
Óleo 175/65 R14 Moura,46.97,30
Disco de Freio Moura 60Ah Bridgestone,240.16,105
Pastilha NGK Iridium Bosch,55.21,36
Filtro 175/65 R14 Moura,289.35,87
Filtro Ventilado NGK,729.55,80
Amortecedor 175/65 R14 Varga,302.8,106
Pneu Dianteiro Cofap Lubrax,621.43,97
Pastilha Dianteiro Cofap TRW,355.24,42
Bateria NGK Iridium Pirelli,594.49,75
Disco de Freio NGK Iridium Cofap,269.61,129
Pneu Dianteiro Cofap Cofap,768.72,97
Pneu 175/65 R14 Varga,112.71,26
Vela Ventilado NGK,150.28,144
Pastilha NGK Iridium Moura,124.68,17
Vela Dianteiro Cofap Bosch,496.49,98
Pneu Traseira Bridgestone,529.88,93
Pneu 10mm Bosch,215.57,54
Óleo Ventilado Moura,555.69,25
Óleo Moura 60Ah Moura,109.42,47
Pastilha Dentada Bridgestone,342.25,135
Correia 10W40 Moura,342.78,92
Correia de Óleo NGK,385.47,22
Pastilha 175/65 R14 Bosch,126.82,32
Filtro 10W40 Lubrax,267.89,140
Pneu 10mm Varga,312.91,70
Pastilha 175/65 R14 TRW,182.67,147
Disco de Freio Moura 60Ah TRW,97.02,26
Correia Ventilado Bridgestone,707.63,35
Amortecedor Dianteiro Cofap Lubrax,519.13,26
Vela Moura 60Ah Bosch,521.06,145
Vela 10W40 Cofap,45.33,82
Bateria Traseira TRW,721.19,87
Filtro Traseira Moura,645.34,143
Amortecedor Ventilado Bosch,11.61,43
Parafuso Dentada Varga,12.16,128
Vela NGK Iridium Lubrax,770.15,45
Filtro de Óleo Continental,468.73,14
Óleo 10W40 TRW,763.95,115
Vela Dentada Moura,344.96,137
Filtro 10mm Lubrax,408.99,92
Amortecedor NGK Iridium Varga,749.45,73
Vela Traseira Moura,728.91,23
Amortecedor 10W40 Bridgestone,629.7,62
Parafuso NGK Iridium Varga,431.35,66
Filtro Moura 60Ah Cofap,64.15,86
Parafuso Moura 60Ah Cofap,798.99,47
Pastilha Moura 60Ah NGK,159.79,135
Pneu 10W40 Lubrax,677.81,99
Óleo Ventilado TRW,318.19,97
Amortecedor 10W40 Varga,767.45,11
Amortecedor de Óleo Lubrax,357.38,46
Vela 10mm Varga,59.03,42
Correia de Óleo Bosch,577.64,18
Filtro NGK Iridium Varga,63.13,41
Amortecedor 175/65 R14 Cofap,320.81,77
Bateria de Óleo Moura,745.38,110
Pastilha Dentada Continental,113.56,110
Pneu Dianteiro Cofap TRW,591.31,74
Bateria Dianteiro Cofap Continental,75.4,107
Amortecedor Dianteiro Cofap Pirelli,489.01,125
Bateria Dentada Bosch,35.06,100
Correia Traseira Pirelli,416.82,84
Parafuso Dianteiro Cofap Bridgestone,663.03,69
Amortecedor Traseira Cofap,367.87,45
Vela Ventilado Lubrax,364.17,31
Amortecedor de Óleo Cofap,60.1,108
Disco de Freio 175/65 R14 Pirelli,168.52,14
Pastilha Dianteiro Cofap Moura,726.53,107
Correia Ventilado Cofap,457.06,57
Correia Traseira NGK,540.36,106
Vela Traseira Lubrax,351.95,121
Disco de Freio Dentada TRW,592.31,66
Vela Ventilado TRW,132.64,62
Correia Traseira Continental,492.07,137
Bateria Moura 60Ah TRW,326.15,34
Pastilha Ventilado Bosch,243.35,51
Parafuso Traseira TRW,785.18,61
Óleo de Óleo Lubrax,575.63,129
Parafuso de Óleo Pirelli,469.62,20
Pneu NGK Iridium Bridgestone,153.86,127
Disco de Freio 175/65 R14 Bosch,108.46,58
Filtro Ventilado Moura,441.61,80
Amortecedor Ventilado Pirelli,647.89,81
Filtro 10W40 Bridgestone,153.78,25
Filtro Dentada Continental,567.68,105
Bateria Traseira Bosch,358.88,87
Bateria Dentada Bridgestone,53.19,64
Disco de Freio Ventilado Varga,93.27,130
Óleo Moura 60Ah TRW,756.34,28
Parafuso 10mm Bosch,745.51,14
Vela 10mm Cofap,640.35,16
Bateria NGK Iridium NGK,309.36,149
Parafuso Traseira Continental,743.75,50
Pastilha 175/65 R14 NGK,198.31,96
Vela Traseira Bosch,90.62,52
Vela de Óleo Pirelli,384.2,36
Correia Ventilado TRW,353.61,132
Vela Dentada TRW,671.82,115
Disco de Freio Moura 60Ah Lubrax,212.26,63
Óleo Traseira Lubrax,657.66,75
Bateria 175/65 R14 Moura,176.85,63
Filtro de Óleo Cofap,119.57,68
Óleo de Óleo Bosch,701.79,40
Amortecedor Dentada Pirelli,21.19,114
Correia Dianteiro Cofap Bridgestone,45.95,129
Parafuso Dentada Bridgestone,350.97,29
Parafuso de Óleo Moura,571.44,54
Pastilha de Óleo Lubrax,484.67,125
Correia Dentada NGK,70.88,96
Correia Dianteiro Cofap Bosch,307.54,103
Correia NGK Iridium Continental,56.4,50
Bateria 10W40 Pirelli,48.21,121
Filtro NGK Iridium Continental,196.65,12
Vela 175/65 R14 Cofap,248.42,43
Filtro NGK Iridium Bosch,439.74,40
Óleo 175/65 R14 Cofap,618.51,131
Pneu Dentada Pirelli,393.75,149
Óleo Dianteiro Cofap Lubrax,308.51,56
Óleo de Óleo NGK,184.01,25
Bateria de Óleo Cofap,469.84,34
Amortecedor de Óleo Bridgestone,717.41,150
Correia Dentada Pirelli,83.9,24
Vela Traseira Cofap,168.03,98
Amortecedor 10mm Moura,466.95,69
Bateria 10W40 NGK,329.9,149
Pneu Ventilado NGK,221.0,128
Pneu 10W40 NGK,238.49,77
Amortecedor Dianteiro Cofap TRW,263.18,14
Filtro Ventilado Pirelli,682.94,59
Correia NGK Iridium Varga,375.09,63
Pastilha Ventilado TRW,386.4,118
Filtro Dentada TRW,376.16,77
Parafuso Ventilado Bosch,290.04,17
Óleo Dianteiro Cofap Cofap,442.99,66
Parafuso Traseira Lubrax,522.93,16
Vela NGK Iridium NGK,275.6,102
Vela Dianteiro Cofap Bridgestone,520.29,92
Bateria 10mm Bridgestone,776.5,73
Filtro de Óleo Bosch,449.75,51
Filtro Ventilado Lubrax,47.88,123
Parafuso 10mm NGK,191.73,148
Filtro Traseira Continental,497.0,10
Vela 10W40 Bridgestone,651.11,144
Parafuso 175/65 R14 NGK,673.25,128
